,text
2696,"1. 코로나19에 걸려서 죽는 건 별로 신경쓰이지 않나요.

2. 코로나19도 무섭고 백신도 무서우면 그냥 집에만 있으면 되잖아요. 백신패스가 무슨 상관? https://t.co/j4O31BuSaN"
2697,"김부겸, 백신 접종은 더는 선택이 될 수 없다고? 그 말인즉슨 결국 백신패스(방역패스)는 접종의 의무화, 강제화라는걸 인정하는거네? 방역이 목적이라는 말 다 거짓이고 정치적 목적으로 이러는거 다 알아. https://t.co/voJHo6famw"
2698,"나중에 맞을거지만
3차 맞는 날~14일 이 사이는 백신패스 적용안되나?? 이 사이면 백신 맞았는데도 코 쑤셔야하나??"
2699,아니 이게 백신패스 이게 1차는 안되??? 손님 말로는 2차 맞고도 몇주 뒤에야 시설들 이용할수 있다고 하는데??? 그냥 1차 맞고는 안되나?
2700,ටㅏ 백신 패스제 하니까 약한(?) 기저질환 가지고 있던 사람은 너무 머리 터질 거 같아욧.. 해당 병원에서 부작용으로 인정을 안 해줘서 보건소에서 백신패스증 그런 것도 못 받는 중..ㅋㅋ 개까다로워
2701,다음주 백신패스해서 8인 됏으면 조캣다...... (드러눕)
2702,@yeontaewon 헉 백신패스관 이네요
2703,@_cookkie_e 우리도.. 위드코로나 땜에 그런가바
2704,돌았네 7천명?? 아니 다들 위드코로나라고 마스크 벗었나요?
2705,"🚨스밍스터디카페 백신패스 안내🚨
방역지침 변경에 따라 스터디 카페도 
백신패스를 적용할 예정입니다🙏
백신접종 2주 경과자 또는 pcr검사 48시간 이내 음성 확인서 꼭 지참 해주세요!!(입장시 확인예정🙌)
(스탭들 모두 2차 접종 완료 및 pcr검사지 소지예정) https://t.co/tZvy87UdW0"
2706,"@yonhaptweet 방역패스, 문재앙과 바이러스만 좋은 것이지. 국민들은 맞으나 마나, 맞아도 걸리고, 백신으로도 죽고."
2707,"한 가수만이 국한되어있는 사기가 아닙니다.
최근 위드코로나로 활성화되는 콘서트 상황에 따라 
피해자가 급증하고 있습니다. 타인의 계좌 이름을 도용하여 사용하는 경우도 발생하고 있으니 되도록 본계 거래로만 거래하시기를 권고드립니다.

윤용빈 사기꾼 콘서트 사기 콘서트 양도 원가양도 사기"
2708,어이가없다 위드코로나 의견 낸사람 책임감 갖고 살아라 https://t.co/lJB25O29jz
2709,"[백신패스&amp;접종패스]
백신접종 사망,그들 유가족은 절규한다.
#문재앙 #정치방역 #거짓방역 #국개의원접종유무
https://t.co/dEDeYU27AP"
2710,"장흥군, 장동면 ‘단계적 일상회복 속 맞춤형복지’ 추진 https://t.co/fKJIl87njw"
2711,백신패스 의무 시설에 대한 제주도 지침입니다. 앱 사용이 어려운 분들은 주민센터 (행복 복지센터??) 가시면 주민증에 백신 완료 스티커 붙여 준다고 해요. 11세 이하 아동의 경우에만 백신 패스 미적용이에요. https://t.co/pQtAEeNfmT
2712,개오랜만 오늘 어제 코검 받아서 학교 안ㄱ ㅏㅁ 맨날 확진자 뜨는데 이게 위드코로나 맞나 싶고
2713,위드코로나 체험판이었네 ㅋ https://t.co/Zi0NmoybTE
2714,"@SamMakP_ 다이브! 살!았!다!

근데 백신패스 공연은 해당없나?"
2715,역시 이구역 저구역 다니면서 위드코로나가 좋네 외치던 아기답다ㅜ https://t.co/N7HASShwCd
2716,? 위드 코로나 중지됐어요?
2717,"남들은 다 풀었는데 왜 우리만 제한하냐 난리, 단계적 일상 회복으로 전환하니 위드 코로나라고 마치 완전한 일상 회복이라도 된 것 마냥 호도, 다시 확진자가 급증하고 중증자가 늘어나니 다시 제한해야 한다고 전문가들 의견을 빌어 정부 비난 일색. 자칭 전문가나 언론이나 매국노 짓거리 중."
2718,수요일에바로달려가고싶은데백신패스관밖에없을까?ㅠㅠㅠㅠㅠㅠ그다음날2차라구요ㅠㅠㅠㅠㅠㅠㅠ포스터랑굿즈랑받고싶어요ㅠㅠㅠㅠ
2719,"유럽 백신 패스 항의 낙서
그런데 이건 대부분 맞기 싫어하는 사람들이 하는것이다 ㅋㅋㅋㅋ;; 어휴 https://t.co/gyGZ9RCbq9"
2720,"3. 특이사항
  가. 미성년자 : 계도기간(2월 1일까지) 방역패스 미적용
  나. 백신 미접종자 : 48시간 이내 PCR검사 음성 확인시 
                                    이용가능

방역패스 관련 궁금한 점이 있으실 경우
트위터 DM 문의주세요."
2721,아 완치자도 백신패스 적용되는구나
2722,"믿고 위드코로나를 실천했었던건 섯부른 판단이었음 그 이후로 반년정도는 거리두기 더 했어야했었다고 생각함; 왜냐하면 쟤네들은 걍 말을 안듣기 때문이야 자기들 생각만으로 바빠서 한국 혼자쓰고 다님 이왕 이렇게 된거 거리두기 어긴놈들 싹다 감방행 법 시행해서 감방 혼자쓰게하지 ㅇㅅ""ㅇ"
2723,"솔직히 위드코로나할때부터 예상했던 결과라 딱히 감흥이 없다
오히려 성공했으면 그게 반전 아니었을까"
2724,"영화관이 갑자기 다 백신패스관으로 바뀌었네 
오... 피씨알 검사받고 
영화 하나에 육 만원 걸기?"
2725,@Heira_love0404 나는 보러왔으나 백신패스관인줄모르고 다른거 예매함   ....
2726,@jiwoo_dream 그쵸그쵸 1차 접종때처럼 나눠서 진행할것 같은데 저두 180일이면 20대들은 백신패스 다시 적용받을때까지 너무 오래걸릴것 같아서 쪼끔 걱정되더라구요ㅠㅠ
2727,"12월 06일 08시 (12월 05일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 43 명
[재원 위중증] 744 명
[신규 입원자] 800 명
[오늘 확진자] 5,128 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
2728,@TANG_GURITANG 백신패스 확인떼문에 그런가요???
2729,백신패스개시발련아;;
2730,"빗속에 기자회견. 

위드코로나에 정리해고를 통보한 세종호텔. 노조 없고, 정규직 없는 호텔을 만들려고 한다. 

#세종호텔 #대양재단 #정리해고철회 https://t.co/a1VxQoEJQF"
2731,"트윗에서... 일본사람들... 우리나라 오미크론땜에 백신패스 한다고 난리났네 겁나 욕들하고...
뭐 우리나라가 그간 확진자수 줄여서 속이고 있었는데 오미크론땜에 어쩔수없이 갑자기 늘어난 숫자가 이상하다나 뭐래나
하... 이런 말 들으면서 윤썩을놈을 야당후보라고 하고 앉아있으니 창피하다"
2732,"결혼식장이나 장례식장에서의 식사자리는
방역패스는 없단다.

방역패스가 확장이 되면 어쩔수없이
백신맞을거라는 예측이 있을거라는
뉴스앵커. 미친뇬인가."
2733,"12월 03일 15시 (12월 03일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 34 명
[재원 위중증] 736 명
[신규 입원자] 750 명
[오늘 확진자] 4,944 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
2734,"위드코로나, 이대로 계속 갈지 일단 멈출지 결단해야/다시 거리두기로 돌아가 사람 간 접촉을 최소화하지 않으면 의료대응 역량을 초과하는 확진자와 위중증 환자 발생으로 건강피해가 더 커질 수 있다는 우려가 높다. https://t.co/Oa3t47aF0F https://t.co/DrAViGumZj"
2735,아니잠깐 학원 백신패스되면 나 발레 못가는거임???? 입시학원만 해당되는건가
2736,"백신패스는 폭력이다. 황교안tv 
이런 소신 발언을 하는 정치인이 있다니..
#백신패스거부 https://t.co/vohZfgjbrA"
2737,어..? 위드 코로나 중단 ..? 오히려 좋아.
2738,오늘부터 카페도 백신패스 적용되서 단체모임시 미접종자는 1명만 이용가능하고 2인이상 미접종자 있을시 이용불가입니다 (단 1인손님 미접종자는 이용가능) 큐알코드나 전화인증은 무조건 필수고 접종완료증명서(2차 14일 지나면 접종완료) 무조건 확인하니까 미리 업데이트 해놓으면 편할듯하네요
2739,"돌파백신 믿고 위드코로나는 백전백패
해외 수많은 실패국가를 그대로 답습하는  헬조선 

돌파백신 패스는 불난집에 기름붓기

단 부스터는 원하면 맞으삼. https://t.co/PdgAZi8W89"
2740,"송가인 을 비롯해 트롯 전국체전에 출연했던 진해성, 재하, 오유진, 신승태, 김용빈, 상호상민, 최향, 한강, 신미래 등을 대거 소속 가수로 영입했다. 정부의 위드 코로나 기조가 이어질 경우 전국투어 공연이 가능하기 때문에 소속 가수들을 중심으로 공연을 준비 중이다.
https://t.co/i8Zda3aPq1"
2741,"내가 만든 탐라가 이렇게 다양하게 의견이 나뉘는건 처음이다. 이씨 지지, 이씨 극혐, 백신패스 지지, 백신패스 반대, 학생백신패스 지지, 학생백신패스 반대, 거리두기 강화 지지, 거리두기 강화 반대.... 또 뭐가 있나.. 여튼 요즘 트친들의 여러 의견이 홍수처럼 넘실댄다. 나는 로또파!"
2742,너무 딴세상살았나 백신패스 문의하는사람 진짜 너무 많다 그냥 백신 맞아두지....
2743,뭐야 청소년은 백신 패스관 내년부터야? 이번주 당장 보러간다.
2744,"""이틀마다 검사받으라는 게 강제"" ""장관 OUT"" 화만 돋운 방역패스 포럼 
국내 기레기들과 국힘 등 수준 이하의 집단들이 코로나 백신 공포 조성한 역효과가 학부모에게서 나타나고 있다.
여기에 집단적 이기주의까지 판을 치니 배가 산으로 가고 있다.
https://t.co/ezsQRaalSm"
2745,"@moonriver365 문재인은 청소년 백신패스 강행에대해 대국민 사과하고 당장 철회해라!! 부작용으로 어른들도 죽어나가는 백신을 애들한테 강요하다니 제정신이냐? 이명박 미국산소고기수입때 부모들이 유모차 끌고 나가서 반대한거 잊었냐?
https://t.co/5khKmDL7Dq"
2746,시간 맞춰서 영화관 갈라니까 왜 백신패스관이냐고
2747,확진자 이천명대일때 그냥 단계적 일상회복 발표했잖아. 두세배 이상 느는 거 당연하게 생각한 거 아니었음? 도대체 왜 준비안해. 우린 서로 물어뜯으며 난리쳐서 시간이 계속 있었는데.
2748,위드코로나라기엔 그냥 확진자만 미친듯이 증가하는 것 같음
2749,이쯤되면 위드코로나는 코로나와 함께 생활하기가 아니라 코로나 함께 걸리기 아니냐
2750,@NormalBoas 백신 패스관이 따로 있군요+_+
2751,예상대로 위드코로나 중단 하겠군. https://t.co/oQ6DfJpMU4
2752,딩국은 위드 코로나 시행하기 전에 지금처럼 확진자 폭증할 것을 예상하지 못했나? 확진자가 훨씬 많아도 병상을 효율적으로 관리해 우리나라와 같은 문제가 없는 국가도 많다. 현재의 병상/의료진 문제는 제대로 준비하지 않은 당국의 탓이지 소아청소년을 포함한 미접종자 탓은 아닐 것.
2753,백신패스 도입해서 백신 맞은 사람 끼린 대회하게 해줘라
2754,아 맞다 위드코로나는 지금도 좀 시기 상조 같음.
2755,@oleunmom @TRY1E2dlY7yAA3p 백신 강제 접종/ 백신패스 강행 하려고😡😡😡
2756,"@cheolsoo0919 안후보님 ""방역패스 확인 의무화 업종과 연령대를 확대해야 합니다"" 라니요. 백신 안맞으면 갈 수 있는 곳이 없게 만드는 것인데 왜 안정성도 검증 안된 백신을 국민에게 맞으라고 강요하는 발언을 하시는지요? 어린 아이들에게까지. 다시 한 번 더 생각해보시길 바랍니다. 
https://t.co/4wRA6ONhwI"
2757,@myeolmang2 영화관 같은데서 백신 패스 관 가면 냠냠이 ㄱㄴ
2758,@sungbin5304 단계적 일상회복이 많이 늦춰지겠네... 대면 수업할 수 있을까
2759,코로나19 신규 확진 ‘7000명’ 넘어 역대 최다…위드 코로나 ‘독’ 됐나 (출처 : 이코노미스트 | 네이버 뉴스) https://t.co/vDUmzALxLb
2760,"위드 코로나 한 달 만에 일상 대전환…＂이젠 화낼 힘도 없어＂ (출처 : 이데일리 | 네이버 뉴스) https://t.co/uyJeEHBTHu

암말 말해도 귓구멍막고 지들 말만 하고 희생만 강요하는 새끼들이 윗대가리로 있으니....."
2761,"이 정부가 끝내 사람들이 일상적으로 이용하는 식당, 카페에까지 백신패스를 적용하고 나설 모양이다. 돌파감염이 흔해진 현실은 아예 무시하고 통제의 기회만 엿보고 있었던가 보다. 백신을 안 맞은 이들에게는 오히려 잘 된 일이다. 입을 안 벌릴 수 없는 곳들을 안전하게 사전 입막음해준 셈이니까."
2762,"[문화예술의전당] ˝확진자 느니 애들에게 짐  지우나˝…심상찮은 청소년 방역패스반대기류, 머니투데이, 멍멍이 룰루는 백신 접종 절대 반대 https://t.co/lsE388hZOF"
2763,백신패스 스샷 때문에 직원분들이 큐알 체크 하면서 화면 일부러 스크롤 해보시더라
2764,신체 자유의 권리를 박탈해 백신 패스를 만들고 강제 접종을 실시하며 인권을 유린해도 문재인만 있으면 좋다는 미친 국민들 때문에 몰모트도 아니고 백신 실험용 인간이 되어버린 국민들...
2765,@yeontaewon 백신패스 없을땐 보러 갔지만 이번엔 패스해야겠네
2766,"@owind 아니요.
이상한 법안 올라왔고 백신 패스 위협적인데도 한국만 잠자고 있는 것 같아요"
2767,"@our_moe 문재인은 청소년 백신 강제 대국민 사과하고 백신패스 철회해라!!
집값 폭등시켜서 출생률 0.6% 역대 최하로 만들어 놓더니 이제는 있는 애들도 백신부작용으로 죽일샘이냐?
https://t.co/cQhS1itQHj"
2768,진짜 다 빡친다 오미크론 확진자 뜬거랑 관련 사람들 백신 미접종까지 ㅋㅋ 이 와중에 무슨 위드코로나야 의료인들은 다 힘들어서 죽어가는데 무슨 위드코로난데
2769,우리나라는 위드 코로나 하면 안됨. 국민 대다수가 가이드라인이 잡힌 교육 과정을 밟았기 때문에 어떤 규율 없이는 통제가 안되고 마음대로 하는 경향이 있음… 자율성에 의존… 너무나 큰 걸 바라는게 아닌지
2770,@bftArim 진짜 ㅇㅈ 위드코로나두 취소하면서 이것도 취소되고 그냥 마지막날에 브이앱이런거 했으면 좋겠어 ㅠㅠㅠㅠㅠㅠ
2771,@pointblank92 위드코로나 딱 한달하고 다시 거라두기로 바꼈어요ㅜㅠㅋㅋ
2772,백신패스 한다는 곳이 가변석 취소 안되는거 맞지..ㅜ
2773,"#시사타임즈 :: (주)월드투어, 위드코로나 시대 국내 최초로 크루즈 여행 재개  [시사타임즈 = 이미선 기자] ㈜월드투어(대표 장성수)가 국내 크루즈 업계에서 가장 먼저 미서부-멕시코 크루즈 여행을 재개했다고 밝혔다. ㈜월드투... https://t.co/mvLVEJj8EU"
2774,"질병청은 백신을 맞아도 코로나에 걸린다면서 부스터 샷을 맞으라고 했다. 질병청 스스로 백신이 효과가 없다고 해놓고, 그 효과없는 백신을 맞은 사람만 통과시키는 백신패스를 하는게 무슨 의미가 있는가? 백신접종 후 사망속출에도 인과성 없다는 말 뿐.. 백신패스, 역풍 제대로 맞고 싶으면 해봐라 https://t.co/faU6SI8YvB"
2775,일땜에 학교갔다 백신패스 얘기가 나왔는데 왜 이걸 강제하냐며 인격권침해라는 소릴 들었다 LA카운티나 독일처럼 안맞으면 학교식당출입금지에 직장짤리는게 강제고 싫으면 일주일에 한번 코뚫으면 되는건데 백신은 무섭고 코뚫리는건 귀찮고 남들하는건 다하고 싶은 니가 도둑놈심보 아니냐고 했다
2776,정부에선 꾸준히 단계적 일상회복이라고 쓰라고 권고했는데요 https://t.co/c4HZVXmaRh
2777,"""확진자 느니 애들에게 짐 지우나""..심상찮은 '청소년 방역패스'반대기류 | 다음뉴스 https://t.co/439wNc7hy9

문재인 쇼 정부는 

원인도 모르고 대책도 막무가네고
병실도 없어 집에서 죽이고

도대체 혈세 축내며 뭐하냐?
이 장책도 기모란 정책이냐? 애들 죽어도 백신과 인과 관계 무 할 것이지?"
2778,"아니 왜 항상 좀 갈까 하면 다시 코로나 비상인건데!!?
이번에 위드 떠서 하 이제 좀 남자친구랑 놀이공원 갈 수 있는건가?! 했는데..ㅜㅜ 윈터 시즌 놀이공원...ㅜㅜㅜ
힝힝힝힝...
2년동안 사귀면서 놀이공원 한 번도 못가봄.. 갈려고 할 때마다 코로롱 터져서...😢"
2779,"백신 접종율이 80%를 넘었는데
그럼 영유아 포함 아이들 빼고 거의 다 맞은건데
확진자는 기록을 세우고 있고
고령층 위중증자의 50%는 돌파감염이고
백신후 사망자가 1,300명 대인데
접종 확대하고, 백신패스 어쩌구 하면
의사보단 정치를 택한거야
소를 희생해서 지지율 올리겠다는
욕먹어 싸요 https://t.co/i9doeRiwnL"
2780,50퍼도 선수들한테 마지노선이라구 생각하는데 100퍼 괜찮나 진짜?ㅠ 아무리 백신패스라도 ... 물론 자리는 지금보다 잇겟지만 ..... 그럿취만 .. ....
2781,백신패스 오예
2782,하긴 그래요. 내돌이 백신거부자여서 돌빠질 하다말고 별안간 cpr을 공부해야하는 그 심정 어찌 다 헤어릴 수 있겠습니까.... 참담함에 밤이 다 잠겨갑니다. 비록 님들이 쟤들 보려면 백신패스가 있어야 하는 불합리한 구조 속에 갇히더라도 아자아자화이자! 함 외치고 이겨내자고요. 가보자고~!
2783,"백신패스반대 범국민운동본부
유투브 구독, 좋아요, 알림설정, 공유를 부탁드립니다
https... 
https://t.co/2ZkxCj4rN2"
2784,3차 일명 부스터샷 맞히고 과연 코로나사태가 잠잠해질까???? 니들 몇달뒤 효과떨어진다고 4차5차6차..... 계속 맞출거잖아;;;;; 백신땜에 죽고 몇십만건이 넘는 부작용은 인정도 안하면서 백신패스도입해서 백신의무화하려는건 맞고 뒈지든말든 랜덤이니 그냥 맞아라 이거같음;;;
2785,"접종 완료자만 들어가는 영화관 내 백신 패스관 등에선 앞으로 음식을 먹을 수 없습니다.

또 경로당과 노인복지관 같은 고령층의 여가, 복지 시설은 추가접종 완료자만 이용할 수 있습니다.

청소년이 주로 이용하는 PC방이나 학원 같은 시설에 방역패스를 적용하는 건 조금 더 검토하기로 했습니다."
2786,"유흥주점이니 다중이용시설이니 카페니 뭐니 묻지도 따지지도 말고
걍 백신패스 싹 다 도입하고
미접종자는 보호명목으로 출입 막자.
그러면 자영업자들 문 안닫아도 되니 경제 돌아가고
미접종자 불안감도 해소 하고
좋구만 짱나네"
2787,할머님은 엊그제 부스터샷 3차 였는데 심장과 머리가 너무 아프셔서 가족들 밤새 맘 고생했단말임.. 할머니가 가족들 보고는 절대 맞지 마라 죽는 줄 알았다고 하시고...ㅠ  3차에 대한 통계? 도 정확하게 나온게 없는것 같고..ㅠ 백신 패스 무효화도 넘 하고ㅠㅠ 이게 뭐야ㅑㅠㅠㅠ 어케해야해ㅠㅠㅠ
2788,"[위드코로나] 확진자도 한계초과~5100, 위중증=723, 사망=34 - 거리두기를 다시하지는 않을듯 (SBS news linked) https://t.co/qKY9KJDT3F"
2789,위드코로나가 원래 확진자 증가해도 받아들이고 미접종자보다 접종자 위주로 사는거임. 그래야 자영업자들 안죽이지. 위드코로나 가야한다고 여론조사 맨날 돌리던 언론이 이제와서 정부가 오판을 해? 방역너무 세다고 지랄할때는 언제고? 치매환자들.
2790,악화되기만 하는 방역상황에 직면한 정부가 단계적 일상회복을 중단하고 거리두기를 포함한 방역 강화조치를 꺼내 들었습니다. https://t.co/n9qSISbs8S
2791,얘들아 백신패스관 청소년증 들고가면볼 수 잇어?
2792,"ㅋㅋㅋ 문재인만세 백신패스만세

//

[속보] “돌파감염 92%”

          군 코로나 24명 추가 확진…22명 접종 후 감염

 (출처 : 서울신문 | 네이버 뉴스) https://t.co/UcqqkRdwVN"
2793,수도권 사적모임 10명→6명 위드코로나 U턴했다 | 다음 뉴스 https://t.co/pOdMmL6JZU
2794,@Hederii 백신 2차 맞고 14일 경과된 백신접종완료자 혹은 48시간 이내 PCR음성 결과 제출자만 출입 가능한 것이 백신패스~~
2795,백신패스가 웃긴 건 변이바이러스는 계속 생기는데 변이에는 아무소용없는 백신 맞아도 모일 수 있게 한다는 거임 그냥 모이지 말라고
2796,"백신패스 ㅄ패스 ㅡㅡ 
ㅈㄴ 짜증나네 아"
2797,"""백신 안 맞으면 출입 금지""..식당·카페·학원 '방역패스'[종합] | 다음뉴스 https://t.co/gkT49ubii2"
2798,도서관도 백신패스래… 책 빌려보고 있는데 흑흑…
2799,"@Dandellion_mm @BTS_twt 미국 있는 친척도 백신접종 후에 확진 받았는데 가벼운 감기처럼 수월하게 넘겼다고 하더라구요 양가부모님 저희 다 2차 완료했고 양가부모님들은 이번주 담주 부스터 맞으세요 저흰 내년 초쯤 될것 같네요
위드코로나로 가는 길이 아직도 넘 험난한것 같아요 현생 여러부분에서 치이니 힘드네요"
2800,"위드코로나라고 고삐 확 풀어버리더니 내 이럴줄알았다
아니 위드코로나도 정도껏 단계별로 해야지 갑자기 와아악~~ 다 풀어버리고... 하"
2801,"국내 최소5명 '오미크론 감염' 확인.. 정부 '위드 코로나 중단' 적극 검토
https://t.co/PiKXBGaA6u"
2802,"백신 미접종자, '혼밥'하거나 일행 모두 '방역패스' 보여주거나
.
노통은 관당적폐에 의해 학살을 당했지만 문재앙은 그 놈들 의료마피아의 학살에 바지사장 노릇이나 하고 자빠졌다. 친구를 잘못 두거나 국가 원수를 잘못 두면 온 국민이 학살 당하는 세상이다‼️
.
https://t.co/yWd07CBfjr"
2803,"...11월 1일부터 위드코로나 단계 적용하고 할로윈후로 조금씩 늘기 시작하다가.. 이지경 된거면 어디까지 가려고
이제 오미크론까지 합세해서 하루에 확진자 만명 나오는 상상.. 생카 못가는 상상
안돼 그것만은 안돼 https://t.co/gymR4c0wcQ"
2804,우와 입장줄 뭐야 백신패스 때문인가보다
2805,"백신패스 때문에 수강취소 하신 분들 계신데 ,,, 어떤 분 담달까지 백신 맞고 오신다고 교재 그냥 달라고 하셨댕 ㅠㅡㅠ ♥"
2806,@loverumpumpum_ 근데 백신패스관 안에서 음식물 먹을수 있는거 첨알았어요 ..
2807,"백신패스(일명 방역패스) 다시 한 번 결사 반대합니다 &gt; 대한민국 청와대 https://t.co/NHSATjdyqY

12월 26일까지, 현재 16만 넘었고 많이 참여하세요. https://t.co/wAf9DHXO9J"
2808,우리 할머니할아버지 큐알이 뭔지 네이ㅂ가 뭔지 모르셔. 이게 누가 미리 알려주지 않으면 모르는 거잖아 근데 백신패스 큐알 인증...? 나는 다른 방법을 찾았으면 좋겠다 ㅇ(-(
2809,"당장 다음주부터 미접종자들 식당, 카페에도 방역패스(백신패스) 적용해서 출입 제한 하려한다는 문건이 인터넷상에서 도는중. 아마 사실일 것이다. 엠바고 걸어놓은 듯한데, 이미 11월에 관련기사가 났던지라 기정사실화 될 듯 하다. 미접종자 보호라고 써있는데 사실상 보호가 아니라 차별, 제재임. https://t.co/4oT3UitfQA"
2810,"작작 좀 쳐나가라 개같은 새끼들아
나가는 사람 따로있고 집안에 쳐박히는 사람 따로있고 이게 뭐하는 짓이냐고
아무리 위드 코로나라고 해도 방역지침을 좀 지키던지
생각없이 다니는 어린애들도 아니고"
2811,"스벅두 백신패스하나보구나
한명빼구 다 보여줘야되넹"
2812,3차 접종까지 해야 백신 패스 인정해줄 상황이면 사적 모임 10명 허용 기준도 고쳐라.
2813,오늘부터 백신패스 확대됐는데 당연히 도서관 우당탕탕 쿵탕쿵탕임 앞에서 제지하는 우리 측도 찜찜하고 이용하지 못하게 된 이용자들도 짜증나고
2814,"신세계 센텀시티
8층 골드문트
단계적 일상회복 프로젝트
12월 크리스마스의 감동과 즐거움을
미리 준비하셔야죠?
Muso for Bentley Special Edition으로
크리스마스의 감동과 즐거움
골드문트매장에서
체험이 가능합니다.
신세계 센텀시티 매장 오픈 4주년 특별함까지?
https://t.co/Y4DaRsuTSD https://t.co/FA23vumwgk"
2815,"@windskyrun @nownet1117 북콘서트에서 백신패스 질문에 위와 같이 답했는데

질문자도 후보도 사망자에 대해선 언급 않았지만 알고 있을 거라 여겨지고

백신부작용 강조하는 의사도 있지만 백신무용론을 펼치는 경우 인류가 마주해야 할 위험이 더 참담하죠.

전지전능한 안철수를 원하시는  듯."
2816,백신패스 영화관 아웃이구만….
2817,@bvv111_ 백신패스관만못보는거지ㅇㅇ
2818,도서관 백신패스 의무적용 시설 됐다는데?
2819,"백신패스 강요하는 방역사기 정권에 대해 국민이 전면 저항해야!5
https://t.co/IkGsNWwFJS"
2820,"＂접종후 생리 끊겼는데 또 맞으라네요＂…백신패스 놓고 부글부글 (출처 : 매일경제 | 네이버 뉴스) https://t.co/4irkHP8Kmw

담주부터 효과가 있나 두고 봐야지...."
2821,극장 관 이름이 백신패스라니 기묘하네
2822,@BewithyouWy 진짜 요즘 확진자 수 무서워요.. 진짜 위드코로나라는 말이 무섭게 주변에 코로나확진자가 많이 나오는거 같아요ㅠㅠ 씬디쌤 몸 조심하셔요
2823,"솔직히 외국인 출입 막는게 나음
전화번호도 집전화도 없는데 무슨 입국 허용해서 출입명부 백신패스 필요한 시설에 입장시켜야됨? 뭐 치외법권임?"
2824,"[문화예술의전당] 백신 맞고 죽은 아들 묘, 종일 우는 엄마…˝그래서 촛불 들었다”, 중앙일보, 정부의 방역 패스(백신 패스) 정책에 반대 의사 https://t.co/ZW1m4tqyuG"
2825,방역패스한다고 차별한다고 난리치는거 보면 한심 그 자체임..ㅋㅋㅋㅋㅋ 억울하면 백신 맞든가
2826,@Jaemyung_Lee 중장기 검증안된 백신 아이들 접종 막을 수 있겠습니까? 지금 통계를 보시죠. 백신 접종률이 높은 국가들 감염자 폭증!! 왜? 그럴까요? 주변국의 실패한 위드코로나를 뻔히 보면서도 대책없이 강행하더니 접종율 낮을 때 보다  상황 악화시켜놓고는 이제 그 책임을 다시 국민에게 돌리는 무책임함!!
2827,#밀착카메라 '위드 코로나' 시행 한 달…무너지는 방역 https://t.co/iP95Ld4hbU
2828,@Damiz_mus 저두 백신 패스 회차ㅠㅠㅠ 그래서 맨날 썰릴 거 같단 생각 들 때마다 백신 패스 회찬데 어케든 갈 수 있겠지..~ 하고 있는데 너무 불안하네요....
2829,확진자 무슨일이고ㅜ 백신을 맞아도 위드코로나가 안되는건가 확진자가 많아도 위중증이 많이 없으면 괜찮은가 싶기도 한데 코로나바이러스 참 어렵다
2830,"11월에 백신패스 시위했었던
대한실내체육시설 총연합회.

[펌] 대한실내체육시설 총연합회에 대해 알아봅시다.
https://t.co/fmPnUooQun"
2831,백신 패스 보여 달라는데 보여달라는데 첨이라 어리둥절 하다 큐브앱 못 다뤄서 문자 접종 완료된거 찾아서 보여 줬잖아
2832,일단 위드코로나를 걍 없애 제발 치료도 중요한데 다 좀 못나가게 막아 제발ㅠㅠㅠㅠ 백신 소용없다고씨밯
2833,온갖 공연장에서 백신패스 도입한다고 문자 캐마니온다
2834,"제발 방역 단속좀 해라
위드코로나라고 규제 완화하니 몇몇 정신나간 놈들은 코로나 끝난줄 알고 턱스크하거나 안끼고 돌아다닌다

방역 규제 강화해서 빨리 코로나 종식시키고 마스크좀 벗고 살자"
2835,"단순히 확진자가 늘어나는 거야 일상 회복에 따라오는 어쩔 수 없는 일이긴 한데, 위중증 늘어나는 건 어떻게 하려고 하는 거지…
단계적 일상 회복 계획에 위중증 늘어날 경우 대비해서 병상 확보하는 내용은 없었던 걸까 https://t.co/IvodTammgt"
2836,"사태가 이쯤 되면 위드코로나 결정자가 책임은 둘째치고 국민들에게 사과라도 한마디 해야 하는 거 아니냐.
확진자 가속구간에서 위드코로나 개시하면서 병상 확보도 안하는 건 무슨 근자감이냐."
2837,"와 식당도 방역패스 도입되어버렸구나 이제ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하 그지같다 진짜 오미크론 들여오신 40대 부부에게 무한한 감사와 영광을 드립니다 ^^ 그지같은 것들 ㅅ빎ㄴㅇ랍댖;ㅁ헉ㄴ애으ㅏㅣㅗㅂㄷㅈㅁㄱㄹ

심혈관계 기저질환자라서 백신 못맞는데 억울함"
2838,"12월 03일 20시 (12월 03일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 34 명
[재원 위중증] 736 명
[신규 입원자] 750 명
[오늘 확진자] 4,944 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
2839,＂한 번 해보면 못 끊는다＂…위드코로나에도 새벽배송 ˙불티˙ (출처 : 한국경제 | 네이버 뉴스) https://t.co/TdX8UJmQpO
