,han_text
3226,중국 당국이 방역 수위를 낮추면 위중증 환자와 사망자가 폭증하면서 정치 문제화할 수 있는 탓에 단계적 일상 회복 위드 고로 나은 불가능하다는 현지 전문가의 지적이 나왔다 겨울 올림픽을 앞두고 중국 특색 방역정책의 우월성을 강조하는 주장이 잇따르고 있다
3227,아 어제부터 쏜 놈 존나 없다 했더니 백신 패스 계도기간이었냐
3228, 영등포요 백신 패스 관 말고 다른 관으로 갑니다ㅜㅜㅜ
3229,  진짜 그 뭐야 이번 주부터 영화관 전체가 백신 패스 적용이라고 알고 있는데
3230, 백신 패스가 없으면 공연들을 못 가서요 필수로 맞아야겠더라고요
3231,카이 첫 솔로 콘서트 월 일     부산 센텀시티점은 백신패스관이므로 입장 시 직원에게 반드시 백신 접종 완료에 대한 인증을 제시 또는 시간 이내의 보건소 등에서의  검사 결과를 보여주셔야 합니다 그 외는 좌석을 한 칸씩 띄어 앉습니다 
3232,위드 코로나 개같이 멸망
3233,아니 진짜 종교시설은 뭔데 백신 패스 적용 안 해    교회가 안 가면 죽는데야 기독교 정권이야 
3234,위드 코로나 위험도 최악 인정하면서도 일상 회복 중단 없었다 출처  뉴스  네이버 뉴스 
3235,놀이공원 워터파크 오락실은 백신 패스 안 하면서 학원 도서관 독서실 스터디 카페 박물관 미술관 영화관 공연장 학원은 백신 패스하는 이유가 뭔데 후자가 더 마스크 꼭 쓰고 다니는데 일괄적으로 확인 못 하는 곳은 풀어준다니 통제가 목적 맞네 백신 패스
3236,대구도 백신 패스 오늘부터 시행이네 카페 포함 실내 업소는 거의 다 접종 완료다 제외자만 이용 가능하네 미접종자는 명만 가능이고 일까지 계도기간이긴 한데 어렵다 아예 이용 못하게 막아야 되는 건가
3237,오늘의 소소한 살 건 차 백신 접종 이런저런 일로 미루다가 담 주부터 백신 패스 적용된대서 헐레벌떡 잔여 백신 예약하고 맞고 온 병원 갔는데 수업 직전이라 폰이랑 노트북 번갈아가며 준비해서 정신없었음 카페에서 실강 처음 들어봄
3238,백신 패스 그 모바일 내역서랑 민증이래요
3239,어쨌든지 팬미팅도 백신 패스할 거 아니야 그럼 온라인 전환할 건지 백신 패스로 대면할 건지 공지를 줘야지 일 좀 해라
3240,백신 패스 적용하더라도 퍼 정도만 가능하게 하지 퍼는 좀 무리인 듯싶은데 ㅠㅠ
3241, 응 그래도 접촉 자면 자가 격리하는 게 좋은데 ㅠㅠ 지금 엄청 심해져서 위드 코로나도 해지되고 다시 제한된다고 하다라고요 
3242,백신패스관이래서 팝콘 냠냠 긋지면 서 노 웨이 홈 볼 거 기대했는데 음료 밖에 못 마시는 건 똑같네
3243,월 일부터 주간 인원수 제한일 일부터 백신 패스 유효기간 개월 적용 앞으로 영화관뿐만 아니라 식당 카페 등도 백신 패스 관입 될 예정일부터는 내가 백신 패스 해당자인지 잘 봐야 하다 나처럼 차 맞고 개월 지난 사람 부스터 샷 안 맞은 사람 어디 나가려면 음성 판정받아야 함
3244,위드 코로나 뜻 시작 날짜 꼭 알아야 되는 인원 제한
3245, 백신 패스는 ㅈㄹ ㅋㅋㅋㅋㅋㅋㅋ 미국도 안 하는 걸 무슨 개월에 한 번씩 접종하라고 여긴 부스터 샷도 아직 권고 안 해서 안 맞았다 잡것들아 제발 적당히 해라 감성팔이 하지 말고
3246, 요즘 위드 코로나라서 그런 것 같은 덕 진짜 불안해요
3247,애초 방역 따위는 없었고 위드 코로나도 끝났다 오로지 위드 백신 밖에 없다는데 세상은 뇌출혈로 쓰러진 동생 사흘 만에 식물인간 된 아들 나흘 만에 세상 떠난 남편 보름 만에 목숨 잃은 딸의 비통한 이야기가 가득하다 불과 달 남짓 백신 사망신고 명 책임은
3248,추가접종 시 배 이상의 예방 효과가 있을 정도로 최고의 백신은 접종이지만 그러지 못할 경우 백신 패스가 안전이고 책임이라 생각한다 백신 패스를 시행하지 않으면 단계적 일상 회복을 멈춰야 할지도 모르는데 모두를 위한 일상으로의 회복을 바라지 않는 게 아니라면 정부 정책에 협조했으면 좋겠다 
3249,위드 코로나를 시작한 첫 주간 월 일월 일은 대기 중 사망자가 명으로 주당 평균 명이었다 그사이 배로 늘어난 것이다 명 가까운 환자가 병상을 구하지 못하고 있다 이 가운데 세 이상 고령이 명 고혈압 당뇨 등 기타 질환자는 명 일 이상 병상 대기자 명
3250, 몸이 안 좋아서 백신 못 맞았는데 담 주부터 학원에 백신 패스 적용이라 ㅠㅠ 제가 학원 선생님이거든요 강제 접종 당하는 중요 지금 병원
3251,내가 가는 맘 카페 백신 패스랑 아이들 백신 이슈로 난리인데 반대하는 건 이해가 가는데 그 근거로 백신 맞아도 돌파 감염 있잖아요 이건 좀 치명률과 위중 증자 관리를 통해 코로나를 감기 수준의 일상 질환으로 끌어내리겠다는 게 이해가 안가나 님들이 생각하는 코로나 종식은 불가해요
3252,백신 패스할 민도면 흡연 패스도 하지 왜 안 하는지 의문이다
3253,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
3254,ㅣ수 모모 상영시간ㅣ관 파워 오브 도그 종영 신의 손 아네트 년 월 일월부터 주간 영화 상영관은 정부 방역지침에 따라 방역 패스 의무 적용 시설입니다 이에 아트하우스 모모는 백신 접종 완료다 및 코로나 음성확인자에 한해서 이용 가능합니다 
3255, 위드 코로나는 물 건너갔네요
3256,코로나 천명 위드 코로나 어떻게 되는 걸까
3257,윤석열 성급한 위드 코로나로 의료 붕괴 오미크론 긴급 대책 필요 출처  뉴스  네이버 뉴스 
3258,백신 패스 관동 있고 하니 ㅇㅅㅇ
3259,  응 둘 다 틀림 완치 자는 접종 자미 접종 자보다 걸릴 확률 낮음 괜히 백신 패스에 완치자가 포함되겠냐 경력직 ㅇㅈㄹㅋㅋㅋㅋ 모르면 입 닫고 조신하게 있자
3260,경제 살린다는 이재명 표 지역화폐 홍남기가 반대하는 이유 지역화폐 예산 증액에 부총리 반대한 이유 지자체 소관인 지역화폐에 나랏돈을 왜 위드 코로나에도 왜 계속 나랏돈 지원 지역화폐 효과 의문인데 지원 왜 확대
3261, 백신 안 맞으면 공부할 권리도 뺏나요  학부모 방역 패스 반발
3262,  백신 패스는 통제다 우욱
3263,단계적 일상 회복 어쩌고 할 때부터 알아봤음 
3264,근본적으로 백신 패스 때문에 생긴 일이죠 사후 조사에서 필요도 없는 거짓말은 왜 했는지 모르지만 
3265,코로나 방역정책 기자회견 위드 코로나 문제와 정책대안   
3266, 연하야 경기장 백신 패스
3267,백신 안 맞으면 출입 금지 식당 카페 학원 방역 패스 종합  다음 뉴스 
3268,대구 도심 곳곳에 걸린 백신 패스 집단소송 현수막 대구경북도 집단소송 참가 서울 강남구와 대구지역만 현수막 부착여 명 대구 경 북만 청구 소송 참가 위헌 시 국가배상 청구 진행 방역 패스 위헌 헌법소원심판 대국민 집단소송 소송인단 모집 안내 현수막이 붙어 있다 
3269,백신 패스 양도 표는 어떻게 되는 거예요 제가 양도했는데 양수자가 아직 접종 전인 세 미만이라면
3270, 울 요가원 월부터 백신 패스해서 회원 조금 늘었어요 마스크는 피부처럼 방탄소년단   
3271,진짜 존나 미쳤네 장난 똥 때리나 이 시국에 말도 안 되는 백신 패스 제도 만드는 것도 이해 안 되고 와중에 학교는 가라고 하는 것도 이해가 안 됨 일부러 한국 말아먹고 다음 정부 엿 맥이려고 그러나 싶음 링
3272,월 일 달라진 거리두기 방역 패스 백신 미접종자 사적 모임  총정리 백신 패스 월 일 달라진 
3273,코로나 백신 방역 패스 유효기간 설정 접종 완료 후 개월 
3274,영상 한 번 보고 나니까 하쿠나 공지 떠서  했는데 백신 패스 내용이라 윙윙 알겠어요 됨
3275,고의 청와대 국민청원  백신 패스 반대에 만명 넘어
3276,위드 코로나 체험판 끝났네 
3277,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
3278,오미크론 확진 부부에 대해서 백신 패스 왜 하냐 해외 입국자를 처음부터 자가 격리 시켜야지라는 댓글을 봤는데 이건 그냥 난 어차피 해외 갈 일이 없으니 날 백신 강제 접종 시키지 말고 그 해외 입국자들이나 조져라 마인드임
3279,일 전에 백신 패스 관에서 예매하신 분  영진위 쿠폰 한다고 좌석 취소하지 마세요  거리두기 때문에 재에 매 안 됩니다 나도 알고 싶지 않았음 
3280,백신 접종도 싫다 백신 패스도 싫다 그러면 자연인처럼 산이나 무인도에서 혼자 살지 뭐 하러 사람들 속에 섞여서 살려고 하나 그리고 백신 부작용 사망률보다 더 높은 게 교통사고 사망률인데 백 신부 작용은 두려워 백신 접종을 거부하면서 자동차는 어떻게 타고 다니는지 모르겠다 
3281, 개봉하면 백신 패스 간에서 팝콘 쳐묵하면서 볼 생각이었는데 계획이 다 무산됐네요
3282, 곧 선거가 있어서 아마 청소년 백신 패스 도입은 반대율이 높아서 시행되지는 않을 것 같아요 걱정 많이 되겠어요
3283,진심 지금 내 주변에 백신 안 맞은 사람이 없어서 백신 미접종자 보면 약간 타인의 백신 패스에 묻어가려 하는 기분 듦 전 국민 백신 과제 버스 타는 사람
3284, 그냥 차라리 거리두기라 하고 경각심 가지게 만드는 게 나은듯요ㅋㅋ 위드 코로나라고 말 바꿔서 사람들이 맘 놓고 놀게 하는 것보다는
3285,문재인 대통령이 일 제회 국가조찬 기도회에 참석해 국내 코로나 상황과 관련 단계적 일상 회복으로 가는 길이 순탄치 않고 신종 변이 오미크론의 위험성이 커지고 있다고 밝혔다
3286,경찰 자정 넘겨 영업하던 무허가 유흥주점 적발 업종 속여 영업 적발되면 연인 관계 거짓말 백신 패스 무력화 접종 완료 음성 확인 안 해 업주 손님 등 명 감염병 예방법 위반 입건
3287,우리 아기 그 누구보다 위드 코로나에 진심인 아이니까 당연함
3288, 앗 백신 패스 관입 따로 있나요
3289, 백신 패스 관 이런 거 덩지
3290,백신 패스일 명 방역 패스 다시 한 번 결사반대합니다  대한민국 청와대 
3291,영화 보고 왔습니다 백신 패스가 해서 명에서 갔는데 혼자서 울고 나왔다는 뭐 어쨌든 오모립과타쿠에 심정을 울리는 그런 영화였습니다 한번 보시는 걸 추천드려요 
3292,자유주의 민주주의에서 백신은 선택이 여하고 백신 패스도 말장난 정책이 지랄이에요 지금 감염 보면 백신 맞은 사람도 걸려요 물론 난 백신 부작용 없이 차까지 맞았고 부스터 샷도 맞을 의사 있는데 하 시발 국민 새끼들아 스스로 생각하고 판단하세요
3293,통제사회 백신 미접종 청소년 내년 월부터 학원 못 간다 문 재앙 정권 청소년에도 방역 패스 적용 사실상 백신 접종 의무화 내년 월부터 백신을 맞지 않은 학생들은 학원에 갈 수 없다 청소년에게도 방역 패스를 전면 적용해 학원 독서실 방 등을 방역 패스 의무시설로 지정했다 
3294,영화 예매 티켓 출력 취소 못함 알람 맞춰 시간 돼도 극장 안감 오미 크롱이게 현실 졸라 슬픔 극장 가도 금지 사항 기회 주의 절대 어김 어이 상실 씨팍 짜증 분노 폭발 극도 불안 중간 퇴장 일상 반복 단계적 일상 회복 단계적 영화 탈탈 단계적 멀리 멀미
3295, 지금 월에 시작된 위드 코로나가 다시 취소된 것은 대 이상 고령층의 감염 확산과 중증화 때문이거든요 백신으로는 감염 확산을 절대 못 막는데 노인정 노인복지 회관 전부 다 열어주고 노인 요양 시설은 다 뚫리고 그걸 지금 다시 국민 거리 두기로 때울라는 상황이죠
3296,아직 백신 무서워서 못 맞았는데 어떡해 나 진짜 집에만 있게 생겼네 백신 패스
3297,위드 코로나는 무슨 
3298,내가 이래서 웬만해서는 개봉 당일 보는 건데 그놈의 백신 패스
3299,준비 안 된 위드 코로나 중환자 병상 늘려도 진료인력 없어 
3300,백신 패스 도입 반대하는 이유 변종 코로나에는 백신이 쓸모가 없음 백신 부작용 발생 시 인과관계 인정 못 받으면 보상도 못 받음 심지어 건강하던 사람이 백신 맞고 갑자기 죽어도 백신 탓이 아니라고 하면 해결됨 일상생활을 지속하기 위해서 일 주기로 백신 재접종해야 함
3301,뭔 백신 패스 유효기간 일이라는데 ㅋㅋㅋ 그냥 집에서 배달시키고 말지 부작용 인정도 안 해주면서 효과 미미한 백신 맞으라고 강요하는 거 뒤에서 돈 처먹어서라는 말밖에 더 되냐고 ㅋㅋ
3302,역시 선동은 조선일 보지 백신 보급 이후로 위중증 확률이 낮아지니 재택 치료 늘린다고 했었고 감염 위험성도 낮아진 건 싹 빼먹고 개돼지들이 물어뜯기 좋게 기사 쓰는 꼬락서니 좀 보소 언제는 위드 코로나 안 한다고 ㅈㄹ 하니까 한다고 ㅈㄹ
3303, 백신 패스는 없으면 당연히 불편 백신을 맞고 안 맞고는 자유
3304,아니 그니까 백신 생각 좀 바꾸라고요 맨 처음 아무것도 모르던 때랑 지금 상황은 다름 통계가 넘쳐나는데 왜 공부를 안 하심 안타깝네 진짜 아이들 백신 패스 반대 이유 치명률이 미 데이터랑 논문도 있으니 좀 나서라고 스웨덴 정책만 반영하지 말고 코로나 대처 상황 로다운 없이 현재 어떤지도 좀 보고
3305,위드코로나넘그립다ㅠㅠㅠㅠㅠㅠㅠ
3306,위드 코로나 이후 심야 택시 부족 플랫폼 영향은 미미 야간 요금 할증제 택시 규제 완화 필요 택시대란 택시 모빌리티 우버 타다 택시기사 택시요금
3307,코로나 확진자가 급증하는 요즘 안전한 일상 회복을 위한 특별방역대책 시행 추가접종 확대 방역 패스 유효기간 설 정자 세한 내용 가치보다 노같이 보자 가치보다 국민 방송 코로나 방역 패스 특별방역대책 백신 오미크론 부스터 샷 방역 자세히 알아보기 
3308, 라이브 관련 중요 공지월 일부터 공연장 백신 패스가 진행됨에 따라 백신 접종 완료다 차 접종 후 일 경과 짜와 밀접 종시  검사 음성 확인서 소지자 시간 이내 진행한 검사만 효력 인정만 공연 관람이 가능합니다 
3309,긴급상황이란 말입니다 무책임한 재택 치료방침 폐기하고 당장 민간병상과 인력 확충해야 합니다 아무런 준비 없이 위드 코로나를 시행했고 예상했던 것처럼 확진자는 급증하고 위중증 환자와 사망자가 늘어가고 있습니다 치료할 병상이 없어 시민이 그냥 죽어가고 있는 위급한 상황입니다 
3310,차 맞고 위드 코로나 되면 함께 훌라 하실 분
3311,관이 백신패스관밖에 없어서 첨 들어오는데 아직도 맨날 스탠딩콘서트는 함성도 못 치게 하면서 영화관에서는 잘도 마스크 벗고 먹고 놀게 하는 거 이해불가
3312,나 백신 차도 안 맞았는데 백신 패스 좀 에반데 학원도 못 가냐 시험기간인데 나 시험 끝나고 백신 맞을 건데
3313,자기들아 목포 놀러와 목포 놀러와 나랑 놀자나랑 백신 패스 간에서 영화 보자 나랑 코노가 자 나랑 밥 먹자 나랑 게임하자 제발 목포 놀러와 나 할 거 없어서 심심해
3314, 구라 아니고 ㅅㅂ 님 코로나 조심하세요 지금 아직 거리두기 격변 안됐죠 지금 위드 코로나 때문에 다들 결혼 달릴 거임 계속 기다려서
3315,아 솔직히 백신 패스 종교시설 제외라는 말이 너무 웃긴데 백신 패스해야 한다고 했을 때 부들대는 집단 기독교밖에 없을 거 같음ㅋㅋㅋㅋ 이럴 때만 종교계로 퉁치지
3316,근데 저번에 두 그냥 백신 패스 관 아닌데 팝콘 씹어 먹는 사람 봤음 소리로 들었음 아주 끝까지 잘 먹더라
3317, 예매할 땐 백신 패스 관입 아니었는데 왜 백신 패스 관 된 거지 오늘 트위터에 나온 얘기들이 이거였나 음식 섭취 가능한 상영관에서 영화 보고 싶지 않은데요ㅠㅠㅠ
3318,보건의료단체 연합 성명서 정부는 준비되지 않은 위드 코로나 실패를 인정하고 멈춰야 한다 
3319,나 그냥 한국을 뜨고 싶어 대선후보들도 백신 패스도 대학도 모든 것들이
3320,사회적 거리두기 기간 동안 번개 알림은 잠시 쉬어 갑니다 거리두기가 완화될 때 건강하게 다시 만나요 적용일 일부터 기간 위드 코로나 중 단기간 동안 시스 앱에서 만나요시스앱  이쪽 어플  이쪽  이쪽 커뮤니티  이쪽 플랫폼
3321,위드 코로나 별짓 거리다 하더니 결국 단계ㅋ
3322,이탈리아 근황 코로나 백신 패스 없이 시내버스를 탄 시민이 만 원의 과태료 처분을 받음 이탈리아는 지난 일부터 방역 규제 위반 단속을 강화했는데 이날 하루에만 백신 패스 미소지 와 마스크 미착용 등으로 천 명 이상이 과태료 처분을 받음 이탈리아 세금 징수 개꿀ㅋ 
3323,백신은 다 맞긴 했다만 일정 기간 뒤에 부스터 샷 맞아야 패스권 유지할 수 있겠구나
3324,중소 벤처기업부와 중소기업유통센터는 단계적 일상 회복에 발맞춰 년 크리스마스 마켓의 사전행사로 추진한 중소 소상공인 특별 제품 선이 국민들의 따뜻한 응원과 참여 속에서 최종 확정되었다고 합니다
3325,법조인 대통령은 그만 안철수 후보가 이런 상황 온다고 위드 코로나 전부터 준비해야 한다고 할 때 작년 월에  그해 월까지 백신이 나오고 준비해야 한다고  할 때 청와대에서 뭐라고 했죠 
3326,방역 패스가 백신 접종을 완료한 날로부터 개월까지만 유효하고 백신 접종 완료 후 주가 지나야 유효하니 한 달 후엔 또 어떻게 될진 모르겠지만 월일에 접종 완료한 나는 하데스 타운 막공까지 무사히 보려면 월 말 월초쯤 부스터 샷을 맞아야겠네 흠 계획을 잘 세워봐야겠구먼
3327,학원도 방역 패스 청소년 백신의 무언제 어떻게  
3328, 요즘 위드 코로나 한다고 해외여행 자제 소리 안 나오니 간다는 게 선교냐 솔직히 국내 개신교가 노 답이다 노 답이다 하는 걸 그냥 듣기만 했는데 요즘은 진짜 저놈들은 해로운 놈이다 수준이 되더라고요
3329, 아 근데 나 백신 패스 안되지 않나
3330,부스트 샷 맞고 주기 다려야지 백신 패스 적용된대서 바로 예약 변경 완료
3331,아니 백신 패스 너무한 거 아니냐 곡
3332, 그러니까요 할인 쿠폰 덕인지 대관은 잘 안하네요ㅋㅋㅋㅋ 살짝 그립다고요 백신 패스 그 관도 딱 한 번 이용해 봤어요ㅋㅋㅋ
3333,도로 공식 재택이 되어버린 단계적 일상 회복 체험판이라니
3334,이젠 믿을 것은 나 자신 밖에 없습니다 위드 코로나를 위해 정부가 차 백신을 종용하고 있네요 오미크론마저 확산되면 질병 청운 두 손들어버릴 수도 있습니다
3335,뉴욕 모든 고용주 백신 의무화 이탈리아는 슈퍼 그린 패스  다음 뉴스 세계 곳곳 백신 패스 강화 뉴욕은 세 어린이도 식당 출입 시 회 접종 의무화
3336,위드 코로나 당장 중단하라 코로나 및 오미크론 확산에 대비한 강력한 방역대책을 시행해라 자영업자들 살리기 위해 대한민국 및 대국민 전체를 죽음의 사지로 내몰 것인가 단계를 뛰어넘는 방역 방침을 공포해라
3337, 확진자 수는 의미 없어요 원래 위드 코로나라는 게 확진자 늘어나는 걸 베이스로 깔고 가는 거라 문제는 환자 수급률이 만 원이 되는 게 문제입니다
3338,죽창 들고 찢어버리기 백신 맞고 죽은 아들 묘 종일 우는 엄마 그래서 촛불 들었다 중앙일보 정부의 방역 패스 백신 패스 정책에 반대 의사 
3339,공공보건과 국가 안보를 위협하겠다는 이런 정신적 금치산자들을 위해서라도 백신 패스 강하게 때려야 
3340,위드 코로 남지 엔드 코로나가 아닌데 이사단 날줄 알았지 백신 맞고 마스크나 잘 써라 박대 가리들 아 밤새 신나게 쳐 돌아다니는 것들 상당수가 백신 안 맞고 턱스크 코르크 하면서 술 처먹다 나가서 담배 피우면서 비말 파티나 처하고 있지
3341,위드 코로나 너무 급하게 간거 아닌지
3342,어차피 위드 코로나 하는 그 즉시 확진자들은 많이 늘어나게 되어있었다 그리고 백신을 맞고 싶어도 알레르기반응으로 인해서 못 맞는 사람들은 그 체질로 인해서 차별한다 웃기지 마라 다시 거리두기를 강화하고 방역을 강화하면 된다
3343,아 제발 죽고싶음ㅋㅋ올해 집에만 짱박혀있었고 스무 살 되면 친구들이랑 어느 정도 약속 잡힐 거 기대하고 있었는데 백신 패스 확대되면서 부모 때문에 백신 못 맞은 나는 이거 쪽팔려서 어디 말할 수도 없음 엄마가 백신에 칩 넣어서 조종한다 몸에 자석이 붙는다 그걸 믿었다고 그래서 내가 백신 못 맞았다고
3344,대사앞에씨발뒤에개새끼야를붙이면험악해진다씨발 위드 코로나 같은 소리 하네 명 넘었는데 학원은 못 가고 학교는 전면 등교 말이 되냐 백신은 권한이라면서 이러면 사람들이 뭐가 되냐고 개새끼야
3345,방역 패스는 간단하게 말하면 백신 접종 완료 자는 완료 인증 앱이나 인증 스티커 증명서에 필요하고 미완료 자는  검사 받으시라는 거고 백신 접종 의무 대상이 아닌 청소년들은 그걸 증명하시면 되고 아나 필릭스 등의 사유로 접종 미완의 경우 관련 증명서 떼고 다니시면 됩니다
3346, 백신 패스라니 허헛
3347,백신 패스 스티커 발급받으러 간다 희희
3348,당장 백신 부작용이 누구에게나 닥칠 수 있겠지만 이대로 지낼 수 없어서 부작용보다는 미접종 사망률이 높고 그래서 가급적 맞는 방향으로 결정한 사람들에게까지 행패 부리는 느낌 백신 패스 전 세계에서 왜 강행을 하는지 사회적 강력한 거리두기도 언제까지 가능할는지도 모르는데 방법이 있나
3349, 백신 패스 구멍 말이지
3350,제천 발전위원회 제천 출신 한국 최초 감리교 목사 탁사 최병헌 선생 기념관 건립 위한 학술세미나 신월동 생가 성역화로 제천 관광산업 미래세대 삶의 터전 지역 경제발전 기여 코로나 위드 코로나 단계적 일상 회복 방역 수칙 준수 윤종태 민원실장 참석자들 수건 증정
3351,백신 방역 패스 청소년 적용도 좀 거부감 들어 솔직히 패스 적용하는 곳 기준도 저게 맞나 싶고
3352,위드 함께 위드 코로나     코로나와 함께 함께 가자며 단계 저리 치워 
3353,아 백신 패스 스티커
3354,ㅋㅋㅋㅋㅋㅋㅋ백신패스 생긴지 얼마나 됐다고
3355,년 내내 방역에 힘쓰고 최상의 결과를 보여준 정부에게 이제 좀 경제 때문에 숨 좀 쉬자고 차선책 백신 접종 격려하고 위드 코로나 하면서 부작용으로 확진자 는다고 매도하고 욕하는 거 보면 역시 국민성 저열하다고 밖에 생각 안 됨
3356,속보 이석민 백신 패스 간에서 팝콘 먹을거리에 만원 써 충격 
3357,총리님 위드 코로나 유턴 안 하신다고 하셨잖아요 근데 중단 검토라뇨 
3358,백신 패스는 미접종자를 차별하는 행위가 아닌 미접종자를 보호하기 위한 방침임이 근거로 미접종자 입원율이 접종 자보다 배 높은 걸 들 수 있음 접종한다고 코로나 꺼져 초사이언 안되는 건 당연한 이야기임 이걸 언급하는 것 자체가 어이없는 일
3359,백신 패스 관 기대가 큽니다 
3360,자기 자녀들은 백신 다 맞춰 놓고 백신 패스 반대하는 건 무슨 생각일까 나라면 백신 안 맞은 애들이 백신 다 맞은 내 자녀들한테 코로나 전염시킬까 봐 걱정될 거 같은데 백신 구해오라고 난리더니 구해오니까 안 맞겠대 그러면서 학원도 제한 없이 다니고 싶대 ㅎㅎㅎ
3361,제발 백신 패스하고 그냥  유지해주면 안될까
3362,하필 백신 패스 시작될 때 민증 잃어버린 나 오늘은 편의점에서 때우고 내일부터 여권 가지고 다녀야겠다
3363,단계적 일상 회복이 백신을 안 맞았거나 맞아도 면역이 안 생긴 사람들을 코로나에 걸리게 해서 면역 획득하게 하는 이유도 있다고 들어서 오미크론처럼 전파 빠르고 안 아픈 애들은 우세 종이 되면 좋은 거 아닐까 싶은
3364,그러고 보면 참 하루 잠깐 영화 보러 갔다 왔던 날이 절묘하단 말이야 그때 일부러라도 안 나갔으면 영영 못 나갈 뻔한 건 아닌가 싶고 그렇네 ㅋㅋ 그때 이후로 위드 코로 난지 뭔지 하면서 아주 대유행이 되어버려서 으음 진짜 묘해 ㅋㅋ
3365,미접종자 투정 받아줄 상황 아냐 방역 패스는 미접종자 보호 전략  질병 청하고 의사고 교수고 연구는 안 하고 무조건 백신만 맞아라 정치하냐 그러면 신뢰가 가겠냐 데이터를 가져다 놓고 얘기를 해야지 개돼지들은 무조건 백신을 맞아라 그 건 조까는 소리지 
3366,백신 부작용에 국민들이 울부짖는데 백 신 접종 늘이고 백신 패스 도입하자는 안철수가 똑똑한 거고 백신이 국가 공동체에 도움이 되니 맞아야 하지만 그 이전에 국가가 책임을 지고 부작용 발생 시에 국가가 인과성 불인정 증거 못 내면 국가 책임으로 하겠다는 윤석열은 머리가 없는 거군요
3367,  한 달간은 백신 패스 관동 생겨서 그 관에서는 먹을 수도 있었는데 내일부턴 다시
3368,위드 코로나 속 연말연시 즐긴다고 이젠 걸리면 재택 치료 가족도 외출 제한된다 출처  세계일보  네이버 뉴스 
3369,위드 코로나를 진작에 끝내던가 진짜
3370,백신 패스 무효화라니 
3371,위드 코로나 이후 경기도 코로나 사망자 급증 출처  뉴시스  네이버 뉴스 
3372, 저도 백신 안 맞아서 요즘 백신 패스 때문에  ㅜㅠ
3373,부 백신 패스 강요하는 방역 사기 정권에 대해 국민이 전면 저항해야  정치분석  출처 
3374, 짧고 강한 로다운 했던 해외가 지금 코로나 끝났나요 모든 케이스를 다 돌려보고 있겠죠 위드 코로나 도 해외를 따라 시도해보고 우리나라에선 이런 맹점이 있구나 한 거고
3375,백신 패스 더 넓은 범위로 강력하게 해주세요
3376,코로나 차 접종 추가접종 대상자 확대 및 조기 접종 안내 모두의 안전을 위해 단계적 일상 회복을 위해 추가 접종 꼭 받으세요 아래 링크에서 자세히 알아보기 
3377,방금   박사는 미국이 캘리포니아에서 첫  사례를 발견했다고 발표했습니다 오미 클론으로 신 세계 질서 만드는 중백신 패스에 전 세계가 일어났기 때문이다 
3378,아니 펍 운영 코로나 때문에 자발적으로 안 하고 위드 되면서 딱 주민 참자하고이벤트도 꾹꾹 참으면서 이번 주 금요일에 터트리려 했더니만 코로나 변종이 터지냐고ㅠㅠ선교 방역수칙 지키는 사람 있고 노는 사람 있고 이런 거냐 술 마셨다 이벤트 할 거다
3379,미접종자를 무서워하는 접종 자도 이해하고 백신 패스가 확산세 감소라고 판단해서 시행하는 것도 백번 양보해서 이해한다 근데 아주 미접종자를 이기적인 쓰레기 집단으로 몰아가는 접종자들 논리가 이젠 그냥 웃김ㅋㅋ거의 맘 카페식 식당 망하게 하기 이런 흐름ㅋㅋㅋㅋㅋㅋ
3380,백신 패스 도입으로 담 주부터 학원들은 모두 백신 또는 검사 의무로 출입되는데 백신 안 맞았으면서 자기한테 불이익이 되는 이 상황을 해결해달라는 미친놈을 응대함 백신 패스가 백신 안 맞은 사람 불이익 주는 그런 거예요 근데 그걸 왜 나한테 해결하라 그래 부득이하게 못 맞는 경우 소견서 내
3381,지금 나온 백신은 세대 코로나 바이러스 예방인 거지 델타 변이 이후의 효과는 거의 없어서 사실상 미접 종이나 접종이나 별 차이 없음 그냥 백신 패스 없애고 거리두기나 했으면 좋겠네 백신보다 거리두기하는 게 더 효과적일 텐데
3382, 고도 아기예요 위드 코로나 하더니 확진자가 정말 폭발적으로 늘고 있고ㅠ 이런 걸 예상하고 위드 코로나를 시행한 거겠지만 정말 너무 심각해요
3383,어라 공연장들 백신 패스 전석으로 풀리나 라흐라흐
3384,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
3385, 우선 사람들이 집에 안 들어갑니다 이미 여기는 정부가 공식적으로 위드 코로나 선언하기 며칠 전부터 사람들이 자기네들 기준으로 벌써 위드 코로나라고 나와서 술 마셨음 ㅠ
3386,네이버 블로그 위드 코로나 시대를 위한 소독방역용품
3387,건의합니다 연말 시상식에 백신 안 맞은 사람 못 들어가게 합시다 백신 패스 도입하자
